doy,hatch
121.90336548922909, -0.0011764705882351123
122.92455574091545, 0
123.92377964749411, 0.0023529411764706687
124.94451294697913, 0.0011764705882355564
125.94739247116857, 0.022352941176470686
126.95095742366004, 0.04705882352941204
127.9547508522522, 0.07294117647058851
128.9512004061798, 0.17529411764705927
129.9235946906507, 0.382352941176471
130.95278160586065, 0.4247058823529417
131.9725683615, 0.5329411764705885
132.92599912961492, 0.6423529411764708
133.9537825487779, 0.7917647058823531
134.97379778051794, 0.9011764705882359
135.9615652426199, 0.9588235294117651
136.98458330311166, 0.9694117647058826
137.96252629288466, 0.9764705882352944
138.98508740117506, 0.9847058823529415
139.93992166533695, 0.987058823529412
140.96111191702332, 0.9882352941176475
142.93667948067022, 0.9894117647058829
144.9566366867339, 0.990588235294118
146.93243272648147, 0.9929411764705887
148.9299666352361, 0.9929411764705887
151.92603902226733, 0.9917647058823533
