system:index,SOS,year,.geo
"0_29012,11604_0",102.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11604_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29014,11604_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29015,11604_0",98.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29016,11604_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29017,11604_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11605_0",97.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11605_0",100.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11605_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11605_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11605_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11605_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11605_0",98.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11605_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11605_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11605_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11605_0",97.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11605_0",91.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29012,11605_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11605_0",96.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29014,11605_0",96.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29015,11605_0",89.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29016,11605_0",90.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11606_0",113.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11606_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11606_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11606_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11606_0",102.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
